Unnamed: 0	auth_0	auth_1	auth_2	auth_3	auth_4	auth_5	auth_6	auth_7	auth_8	auth_9	auth_additional	auth_count	doi	journal	pmid	title	year
1171	Maughan BC	Baren JM	Shea JA	Merchant RM								4.0	10.1111/acem.12821	Acad Emerg Med	26568385	Choosing Wisely in Emergency Medicine: A National Survey of Emergency Medicine Academic Chairs and Division Chiefs.	2015
1490	Batur P	Cleland K	McNamara M	Wu J	Pickle S	EC Survey Group						6.0	10.1016/j.contraception.2015.09.003	Contraception	26363429	Emergency contraception: A multispecialty survey of clinician knowledge and practices.	2016
2279	Harper RJ	Brady WJ	Perron AD	Mangrum M								4.0	10.1053/ajem.2001.24486	Am J Emerg Med	11699000	The paced electrocardiogram: issues for the emergency physician.	2001
3482	Chen CH	Yen DH										2.0	10.1016/j.annemergmed.2017.07.013	Ann Emerg Med	29269001	Elderly Woman With Vomiting.	2018
3563	Yi-Szu W	Chung-Ping H	Tzu-Chieh L	Dar-Yu Y	Tain-Cheng W							5.0	10.1053/ajem.2000.18132	Am J Emerg Med	11103738	Chest injuries transferred to trauma centers after the 1999 Taiwan earthquake.	2000
3589	Porath JD	Meka AP	Morrow C	Iyengar R	Shtull-Leber E	Fagerlin A	Meurer WJ					7.0	10.1111/acem.13404	Acad Emerg Med	29505177	Patient Preferences for Diagnostic Testing in the Emergency Department: A Cross-sectional Study.	2018
4552	Mégarbane B	Weinberg GL										2.0	10.1016/j.ajem.2020.03.065	Am J Emerg Med	32278571	Hypotension and status epilepticus in relation to intrathecal morphine administration.	2020
4665	Bonar EE	Walton MA	Caldwell MT	Whiteside LK	Barry KL	Cunningham RM						6.0	10.1016/j.jemermed.2015.02.017	J Emerg Med	25952707	Sexually Transmitted Infection History among Adolescents Presenting to the Emergency Department.	2015
4707	Greenwood-Ericksen MB	Tipirneni R	Abir M									3.0	10.1016/j.annemergmed.2017.06.025	Ann Emerg Med	28802783	An Emergency Medicine-Primary Care Partnership to Improve Rural Population Health: Expanding the Role of Emergency Medicine.	2017
4812	Kessler CS	Afshar Y	Sardar G	Yudkowsky R	Ankel F	Schwartz A						6.0	10.1111/j.1553-2712.2012.01412.x	Acad Emerg Med	22905961	A prospective, randomized, controlled study demonstrating a novel, effective model of transfer of care between physicians: the 5 Cs of consultation.	2012
